playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,ppg,rpg,apg,spg,bpg,mpg,fg_pct,efficiency,gs_pct,win_pct,made_playoffs,conf_rank,ppg_league_avg,rpg_league_avg,apg_league_avg,spg_league_avg,bpg_league_avg,efficiency_league_avg,ppg_vs_avg,rpg_vs_avg,apg_vs_avg,efficiency_vs_avg,is_rookie,won_most_valuable_player,won_defensive_player_of_the_year,won_rookie_of_the_year,won_most_improved_player,won_all-star_game_most_valuable_player
colleka01w,1,0,MIA,WNBA,32,32,873,264,15,48,63,50,27,7,65,65,293,103,70,53,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,1.96875,1.5625,0.84375,0.21875,27.28125,0.3515358361774744,10.8125,1.0,0.40625,1,6.0,6.836590793021675,2.945890789341439,1.5446216323534503,0.8007118051293098,0.33371266988504567,10.943562223821969,1.4134092069783248,-0.9771407893414392,0.01787836764654971,-0.13106222382196897,1,0,0,0,0,0
colleka01w,2,0,MIA,WNBA,14,0,121,26,2,5,7,7,2,1,7,9,39,10,10,6,1,0,0,2,0,3,2,1,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1.8571428571428572,0.5,0.5,0.14285714285714285,0.07142857142857142,8.642857142857142,0.2564102564102564,2.5714285714285716,0.0,0.625,1,3.0,6.368809162297727,3.00038464883749,1.452907564404673,0.7765804416666324,0.35794592757565524,10.52923972968196,-4.51166630515487,-2.50038464883749,-0.952907564404673,-7.957811158253389,0,0,0,0,0,0
consuca01w,2,0,UTA,WNBA,15,0,50,2,1,5,6,10,4,0,11,4,5,0,4,2,2,0,0,1,0,2,3,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0.13333333333333333,0.4,0.6666666666666666,0.26666666666666666,0.0,3.3333333333333335,0.0,0.7333333333333333,0.0,0.59375,1,3.5,6.368809162297727,3.00038464883749,1.452907564404673,0.7765804416666324,0.35794592757565524,10.52923972968196,-6.235475828964393,-2.60038464883749,-0.7862408977380063,-9.795906396348627,1,0,0,0,0,0
coopeca01w,3,0,NYL,WNBA,23,1,119,27,5,11,16,3,4,5,10,28,28,11,8,5,0,0,0,3,0,15,3,1,1,2,0,2,0,2,3,2,1,2,1,0,0,0,1.173913043478261,0.6956521739130435,0.13043478260869565,0.17391304347826086,0.21739130434782608,5.173913043478261,0.39285714285714285,1.9565217391304348,0.043478260869565216,0.5625,1,1.5,6.685519724798645,3.020592212827863,1.5094308093646538,0.7701550243528007,0.3558087302705813,10.905714035061603,-5.511606681320385,-2.3249400389148196,-1.3789960267559582,-8.949192295931168,1,0,0,0,0,0
coopecy01w,1,0,HOU,WNBA,31,31,1085,550,17,68,85,156,39,6,99,61,392,180,168,147,121,43,0,6,6,228,136,5,10,15,22,9,1,18,11,119,45,39,35,32,11,0,17.741935483870968,2.7419354838709675,5.032258064516129,1.2580645161290323,0.1935483870967742,35.0,0.45918367346938777,23.774193548387096,1.0,0.84375,1,2.0,6.836590793021675,2.945890789341439,1.5446216323534503,0.8007118051293098,0.33371266988504567,10.943562223821969,10.905344690849294,-0.2039553054704717,3.4876364321626787,12.830631324565127,1,0,0,0,0,0
crawlsy01w,1,0,POR,WNBA,31,30,930,357,64,121,185,34,29,24,88,96,298,143,102,71,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.516129032258064,5.967741935483871,1.096774193548387,0.9354838709677419,0.7741935483870968,30.0,0.4798657718120805,17.451612903225808,0.967741935483871,0.3125,1,7.0,6.836590793021675,2.945890789341439,1.5446216323534503,0.8007118051293098,0.33371266988504567,10.943562223821969,4.679538239236389,3.0218511461424318,-0.4478474388050633,6.508050679403839,1,0,0,0,0,0
crawlsy01w,2,0,POR,WNBA,32,32,921,299,63,140,203,54,19,26,61,85,267,120,77,59,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34375,6.34375,1.6875,0.59375,0.8125,28.78125,0.449438202247191,16.875,1.0,0.34375,1,7.0,6.368809162297727,3.00038464883749,1.452907564404673,0.7765804416666324,0.35794592757565524,10.52923972968196,2.974940837702273,3.34336535116251,0.23459243559532705,6.34576027031804,0,0,0,0,0,0
crawlsy01w,3,0,POR,WNBA,32,31,819,279,46,88,134,47,18,37,62,90,284,114,63,44,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71875,4.1875,1.46875,0.5625,1.15625,25.59375,0.4014084507042254,14.15625,0.96875,0.5,1,5.0,6.685519724798645,3.020592212827863,1.5094308093646538,0.7701550243528007,0.3558087302705813,10.905714035061603,2.0332302752013547,1.166907787172137,-0.04068080936465379,3.250535964938397,0,0,0,0,0,0
crawlsy01w,4,0,SAS,WNBA,33,8,564,115,39,66,105,19,18,19,40,76,130,50,22,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.484848484848485,3.1818181818181817,0.5757575757575758,0.5454545454545454,0.5757575757575758,17.09090909090909,0.38461538461538464,7.151515151515151,0.24242424242424243,0.35294117647058826,1,6.0,6.560607765916175,3.0233859858234644,1.4659789318296925,0.7202394136440591,0.3555733565278086,10.780667026648473,-3.07575928106769,0.15843219599471725,-0.8902213560721167,-3.6291518751333216,0,0,0,0,0,0
crockda01w,3,0,UTA,WNBA,18,0,84,29,6,7,13,2,0,2,3,8,28,10,12,9,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1.6111111111111112,0.7222222222222222,0.1111111111111111,0.0,0.1111111111111111,4.666666666666667,0.35714285714285715,2.388888888888889,0.0,0.625,1,3.0,6.685519724798645,3.020592212827863,1.5094308093646538,0.7701550243528007,0.3558087302705813,10.905714035061603,-5.074408613687535,-2.2983699906056407,-1.3983196982535426,-8.516825146172714,1,0,0,0,0,0
