year,tmID,team_avg_player_prev_rating,team_median_player_prev_rating,team_std_player_prev_rating,team_num_players_prev
7,CON,0.6177522359518399,0.6715342742222032,0.2599634473935365,10
7,DET,0.6017136319855737,0.5868766404199476,0.1879598880828544,11
7,HOU,0.5945548847810792,0.5830313014827018,0.1657643546246812,11
7,IND,0.5855110641154091,0.5648059528258604,0.19123236885645423,10
7,LAS,0.5779325994111604,0.5228882833787466,0.2537287249429916,9
7,MIN,0.6676499867665662,0.6675622272030199,0.17198649566821336,8
7,NYL,0.46391568925271987,0.48753007217321576,0.1562059168818726,10
7,PHO,0.6221110895232413,0.5929337624027889,0.21388640800018455,12
7,SAC,0.7124535276445426,0.664664205763277,0.12765432578625746,8
7,SAS,0.5166631714409284,0.5346014492753624,0.1154118577069297,9
7,SEA,0.5537401783480835,0.5474032050397757,0.23306603977229123,12
7,WAS,0.6390753691054069,0.6416000000000001,0.10641783689848452,9
