playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,ppg,rpg,apg,spg,bpg,mpg,fg_pct,efficiency,gs_pct,league_ppg,league_rpg,league_apg,league_efficiency,ppg_vs_avg,rpg_vs_avg,apg_vs_avg,efficiency_vs_avg,ppg_cumulative,rpg_cumulative,apg_cumulative,efficiency_cumulative,mpg_cumulative,spg_cumulative,bpg_cumulative,ppg_prev,rpg_prev,apg_prev,efficiency_prev,mpg_prev,is_rookie,years_experience,win_pct,conf_rank,made_playoffs,won_championship,playoff_wins,won_most_valuable_player,won_defensive_player_of_the_year,won_rookie_of_the_year,won_most_improved_player,won_all-star_game_most_valuable_player,won_wnba_finals_most_valuable_player,total_previous_awards,years_since_last_award,prev_most_valuable_player,prev_defensive_player_of_the_year,prev_rookie_of_the_year,prev_most_improved_player,prev_all-star_game_most_valuable_player,prev_wnba_finals_most_valuable_player
brondsa01w,4,0,SEA,WNBA,34,34,975,280,19,37,56,69,31,2,37,58,282,117,31,25,48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.235294117647058,1.6470588235294117,2.0294117647058822,0.9117647058823529,0.058823529411764705,28.676470588235293,0.4148936170212766,11.794117647058824,1.0,6.560607765916175,3.0233859858234644,1.4659789318296925,10.780667026648473,1.674686351730883,-1.3763271622940527,0.5634328328761897,1.0134506204103513,29.657133198106827,4.737863421230561,5.735158891142664,39.54124408384044,83.42014874915483,2.74394861392833,0.33008789722785664,8.766666666666667,1.3666666666666667,1.5333333333333334,11.333333333333334,25.433333333333334,False,2,0.5294117647058824,4.5,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownco01w,4,0,IND,WNBA,30,2,522,186,11,30,41,31,21,4,36,30,164,61,33,28,100,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,1.3666666666666667,1.0333333333333334,0.7,0.13333333333333333,17.4,0.3719512195121951,8.233333333333333,0.06666666666666667,6.560607765916175,3.0233859858234644,1.4659789318296925,10.780667026648473,-0.3606077659161748,-1.6567193191567977,-0.4326455984963591,-2.5473336933151405,6.2,1.3666666666666667,1.0333333333333334,8.233333333333333,17.4,0.7,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,True,0,0.47058823529411764,5.5,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownco01w,5,0,IND,WNBA,26,0,398,104,10,24,34,41,7,1,31,31,108,37,16,10,56,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.3076923076923077,1.5769230769230769,0.2692307692307692,0.038461538461538464,15.307692307692308,0.3425925925925926,6.0,0.0,6.576288305031726,2.967241265142569,1.4970187680554519,10.771997844127686,-2.576288305031726,-1.659548957450261,0.079904308867625,-4.771997844127686,10.2,2.6743589743589746,2.6102564102564103,14.233333333333333,32.707692307692305,0.9692307692307691,0.1717948717948718,6.2,1.3666666666666667,1.0333333333333334,8.233333333333333,17.4,False,1,0.4411764705882353,6.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownco01w,7,0,CHI,WNBA,15,2,252,48,4,18,22,26,10,0,18,12,59,16,8,4,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,1.4666666666666666,1.7333333333333334,0.6666666666666666,0.0,16.8,0.2711864406779661,5.866666666666666,0.13333333333333333,7.145547376818877,3.1938474858185915,1.5621029797026624,11.572242388552134,-3.945547376818877,-1.727180819151925,0.17123035363067096,-5.7055757218854675,13.4,4.1410256410256405,4.343589743589744,20.099999999999998,49.50769230769231,1.6358974358974359,0.1717948717948718,4.0,1.3076923076923077,1.5769230769230769,6.0,15.307692307692308,False,2,0.14705882352941177,7.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
browned01w,1,0,DET,WNBA,32,7,619,188,36,52,88,72,24,5,68,77,168,60,80,67,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.875,2.75,2.25,0.75,0.15625,19.34375,0.35714285714285715,9.65625,0.21875,6.836590793021675,2.945890789341439,1.5446216323534503,10.943562223821969,-0.9615907930216752,-0.19589078934143922,0.7053783676465497,-1.287312223821969,5.875,2.75,2.25,9.65625,19.34375,0.75,0.15625,0.0,0.0,0.0,0.0,0.0,True,0,0.4375,4.5,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
browned01w,2,0,DET,WNBA,32,14,800,237,31,70,101,87,33,7,68,83,232,85,60,47,53,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40625,3.15625,2.71875,1.03125,0.21875,25.0,0.36637931034482757,12.40625,0.4375,6.368809162297727,3.00038464883749,1.452907564404673,10.52923972968196,1.037440837702273,0.1558653511625101,1.265842435595327,1.8770102703180402,13.28125,5.90625,4.96875,22.0625,44.34375,1.78125,0.375,5.875,2.75,2.25,9.65625,19.34375,False,1,0.3125,7.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
browned01w,3,0,DET,WNBA,28,7,549,115,29,53,82,58,25,7,60,73,131,43,32,23,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.107142857142857,2.9285714285714284,2.0714285714285716,0.8928571428571429,0.25,19.607142857142858,0.3282442748091603,8.107142857142858,0.25,6.685519724798645,3.020592212827863,1.5094308093646538,10.905714035061603,-2.5783768676557886,-0.09202078425643467,0.5619977620639178,-2.7985711779187454,17.388392857142858,8.834821428571429,7.040178571428571,30.169642857142858,63.95089285714286,2.674107142857143,0.625,7.40625,3.15625,2.71875,12.40625,25.0,False,2,0.28125,8.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
browned01w,4,0,PHO,WNBA,34,6,524,118,29,42,71,62,30,7,47,44,152,41,44,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4705882352941178,2.088235294117647,1.8235294117647058,0.8823529411764706,0.20588235294117646,15.411764705882353,0.26973684210526316,7.088235294117647,0.17647058823529413,6.560607765916175,3.0233859858234644,1.4659789318296925,10.780667026648473,-3.0900195306220573,-0.9351506917058172,0.3575504799350133,-3.6924317325308262,20.858981092436974,10.923056722689076,8.863707983193278,37.257878151260506,79.36265756302521,3.5564600840336134,0.8308823529411764,4.107142857142857,2.9285714285714284,2.0714285714285716,8.107142857142858,19.607142857142858,False,3,0.23529411764705882,7.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownki01w,3,0,WAS,WNBA,18,0,108,28,4,8,12,6,5,0,5,10,35,12,3,3,11,1,0,2,0,15,6,0,1,1,1,2,0,0,3,6,3,0,0,2,0,0,1.5555555555555556,0.6666666666666666,0.3333333333333333,0.2777777777777778,0.0,6.0,0.34285714285714286,2.5555555555555554,0.0,6.685519724798645,3.020592212827863,1.5094308093646538,10.905714035061603,-5.12996416924309,-2.3539255461611965,-1.1760974760313205,-8.350158479506048,1.5555555555555556,0.6666666666666666,0.3333333333333333,2.5555555555555554,6.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.53125,3.0,1,0,3,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownki01w,4,0,WAS,WNBA,27,0,269,60,6,26,32,28,13,1,22,23,72,24,3,2,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2222222222222223,1.1851851851851851,1.037037037037037,0.48148148148148145,0.037037037037037035,9.962962962962964,0.3333333333333333,4.148148148148148,0.0,6.560607765916175,3.0233859858234644,1.4659789318296925,10.780667026648473,-4.338385543693953,-1.8382008006382793,-0.42894189479265554,-6.632518878500325,3.7777777777777777,1.8518518518518516,1.3703703703703702,6.703703703703703,15.962962962962964,0.7592592592592593,0.037037037037037035,1.5555555555555556,0.6666666666666666,0.3333333333333333,2.5555555555555554,6.0,False,1,0.2647058823529412,7.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownki01w,5,0,WAS,WNBA,26,0,371,104,9,41,50,42,13,2,33,21,88,35,24,21,28,13,0,2,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,4.0,1.9230769230769231,1.6153846153846154,0.5,0.07692307692307693,14.26923076923077,0.3977272727272727,6.846153846153846,0.0,6.576288305031726,2.967241265142569,1.4970187680554519,10.771997844127686,-2.576288305031726,-1.0441643420656457,0.11836584732916355,-3.92584399797384,7.777777777777778,3.7749287749287745,2.9857549857549857,13.549857549857549,30.232193732193736,1.2592592592592593,0.11396011396011396,2.2222222222222223,1.1851851851851851,1.037037037037037,4.148148148148148,9.962962962962964,False,2,0.5,3.5,1,0,1,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownki01w,7,0,NYL,WNBA,16,0,58,20,2,6,8,9,2,0,3,7,20,6,8,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.5,0.5625,0.125,0.0,3.625,0.3,2.25,0.0,7.145547376818877,3.1938474858185915,1.5621029797026624,11.572242388552134,-5.895547376818877,-2.6938474858185915,-0.9996029797026624,-9.322242388552134,9.027777777777779,4.2749287749287745,3.5482549857549857,15.799857549857549,33.857193732193736,1.3842592592592593,0.11396011396011396,4.0,1.9230769230769231,1.6153846153846154,6.846153846153846,14.26923076923077,False,3,0.3235294117647059,5.5,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownki01w,8,2,LAS,WNBA,27,0,327,131,8,31,39,48,12,3,25,21,99,39,40,35,40,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.851851851851852,1.4444444444444444,1.7777777777777777,0.4444444444444444,0.1111111111111111,12.11111111111111,0.3939393939393939,7.703703703703703,0.0,7.559614834924099,3.373083806385523,1.6751652793086431,12.200634792466717,-2.7077629830722465,-1.9286393619410787,0.10261249846913456,-4.496931088763014,13.87962962962963,5.719373219373219,5.326032763532764,23.50356125356125,45.96830484330484,1.8287037037037037,0.22507122507122507,1.25,0.5,0.5625,2.25,3.625,False,4,0.29411764705882354,6.5,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownki01w,9,0,LAS,WNBA,32,17,530,158,8,51,59,66,19,0,39,41,146,52,34,31,67,23,0,4,3,32,14,1,0,1,2,0,0,1,1,14,6,1,1,3,1,0,4.9375,1.84375,2.0625,0.59375,0.0,16.5625,0.3561643835616438,8.21875,0.53125,7.240842078945284,3.2973513748803076,1.524153209337488,11.801991744243765,-2.303342078945284,-1.4536013748803076,0.5383467906625119,-3.5832417442437645,18.81712962962963,7.563123219373219,7.388532763532764,31.72231125356125,62.53080484330484,2.4224537037037037,0.22507122507122507,4.851851851851852,1.4444444444444444,1.7777777777777777,7.703703703703703,12.11111111111111,False,5,0.5882352941176471,3.0,1,0,3,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownru01w,1,0,CLE,WNBA,30,22,679,253,54,70,124,44,38,13,59,81,187,93,78,66,2,1,0,6,6,167,63,19,15,34,10,17,2,17,17,45,21,24,21,1,0,0,8.433333333333334,4.133333333333334,1.4666666666666666,1.2666666666666666,0.43333333333333335,22.633333333333333,0.49732620320855614,13.766666666666667,0.7333333333333333,6.836590793021675,2.945890789341439,1.5446216323534503,10.943562223821969,1.5967425403116584,1.1874425439918945,-0.07795496568678373,2.8231044428446985,8.433333333333334,4.133333333333334,1.4666666666666666,13.766666666666667,22.633333333333333,1.2666666666666666,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,True,0,0.53125,2.0,1,0,3,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownru01w,2,0,CLE,WNBA,30,24,760,249,49,83,132,37,44,10,37,73,195,101,63,46,1,1,1,3,1,62,25,2,6,8,5,4,2,3,9,15,10,6,5,0,0,0,8.3,4.4,1.2333333333333334,1.4666666666666666,0.3333333333333333,25.333333333333332,0.517948717948718,14.5,0.8,6.368809162297727,3.00038464883749,1.452907564404673,10.52923972968196,1.9311908377022737,1.3996153511625105,-0.21957423107133955,3.9707602703180402,16.733333333333334,8.533333333333335,2.7,28.266666666666666,47.96666666666667,2.7333333333333334,0.7666666666666666,8.433333333333334,4.133333333333334,1.4666666666666666,13.766666666666667,22.633333333333333,False,1,0.6875,1.0,1,0,1,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownru01w,3,0,CLE,WNBA,28,2,468,112,29,46,75,27,21,8,39,54,105,42,38,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2.6785714285714284,0.9642857142857143,0.75,0.2857142857142857,16.714285714285715,0.4,7.285714285714286,0.07142857142857142,6.685519724798645,3.020592212827863,1.5094308093646538,10.905714035061603,-2.6855197247986453,-0.3420207842564347,-0.5451450950789395,-3.6199997493473175,20.733333333333334,11.211904761904762,3.664285714285714,35.55238095238095,64.68095238095238,3.4833333333333334,1.0523809523809524,8.3,4.4,1.2333333333333334,14.5,25.333333333333332,False,2,0.3125,7.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brownru01w,4,0,CHA,WNBA,34,5,483,125,34,49,83,16,29,10,35,88,116,53,23,19,2,0,1,2,1,46,7,3,5,8,4,2,0,4,4,7,3,2,1,0,0,0,3.676470588235294,2.4411764705882355,0.47058823529411764,0.8529411764705882,0.29411764705882354,14.205882352941176,0.45689655172413796,6.705882352941177,0.14705882352941177,6.560607765916175,3.0233859858234644,1.4659789318296925,10.780667026648473,-2.884137177680881,-0.5822095152352289,-0.9953906965355749,-4.074784673707296,24.409803921568628,13.653081232492998,4.134873949579832,42.25826330532213,78.88683473389355,4.336274509803921,1.346498599439776,4.0,2.6785714285714284,0.9642857142857143,7.285714285714286,16.714285714285715,False,3,0.5294117647058824,2.5,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brumfma01w,1,0,MIN,WNBA,32,17,613,124,22,38,60,42,22,2,40,70,101,47,42,29,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.875,1.875,1.3125,0.6875,0.0625,19.15625,0.46534653465346537,6.5625,0.53125,6.836590793021675,2.945890789341439,1.5446216323534503,10.943562223821969,-2.961590793021675,-1.0708907893414392,-0.2321216323534503,-4.381062223821969,3.875,1.875,1.3125,6.5625,19.15625,0.6875,0.0625,0.0,0.0,0.0,0.0,0.0,True,0,0.46875,6.0,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brumfma01w,2,0,MIA,WNBA,27,0,247,44,8,17,25,32,20,0,24,27,60,17,5,5,15,5,0,2,0,4,2,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1.6296296296296295,0.9259259259259259,1.1851851851851851,0.7407407407407407,0.0,9.148148148148149,0.2833333333333333,3.5925925925925926,0.0,6.368809162297727,3.00038464883749,1.452907564404673,10.52923972968196,-4.739179532668097,-2.074458722911564,-0.2677223792194878,-6.936647137089367,5.50462962962963,2.800925925925926,2.497685185185185,10.155092592592592,28.30439814814815,1.4282407407407407,0.0625,3.875,1.875,1.3125,6.5625,19.15625,False,1,0.625,3.0,1,0,1,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brumfma01w,4,0,CHA,WNBA,25,0,123,18,1,9,10,14,1,1,6,13,16,6,6,6,3,0,0,2,0,7,3,0,0,0,1,0,0,1,1,2,1,2,1,0,0,0,0.72,0.4,0.56,0.04,0.04,4.92,0.375,1.52,0.0,6.560607765916175,3.0233859858234644,1.4659789318296925,10.780667026648473,-5.840607765916175,-2.6233859858234645,-0.9059789318296925,-9.260667026648473,6.2246296296296295,3.200925925925926,3.057685185185185,11.675092592592593,33.22439814814815,1.4682407407407407,0.10250000000000001,1.6296296296296295,0.9259259259259259,1.1851851851851851,3.5925925925925926,9.148148148148149,False,2,0.5294117647058824,2.5,1,0,0,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brungje01w,5,0,CON,WNBA,33,0,314,50,10,27,37,27,4,4,12,21,59,18,5,4,38,10,0,8,0,101,8,5,8,13,5,1,0,2,5,15,3,0,0,10,2,0,1.5151515151515151,1.121212121212121,0.8181818181818182,0.12121212121212122,0.12121212121212122,9.515151515151516,0.3050847457627119,3.3333333333333335,0.0,6.576288305031726,2.967241265142569,1.4970187680554519,10.771997844127686,-5.06113678988021,-1.8460291439304477,-0.6788369498736336,-7.438664510794352,1.5151515151515151,1.121212121212121,0.8181818181818182,3.3333333333333335,9.515151515151516,0.12121212121212122,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,True,0,0.5294117647058824,1.5,1,0,5,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
brungje01w,6,0,CON,WNBA,12,0,47,2,1,5,6,2,0,0,2,4,9,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,3.9166666666666665,0.1111111111111111,0.6666666666666666,0.0,6.457699244433117,2.871647464466044,1.47539613539918,10.475106723100376,-6.29103257776645,-2.371647464466044,-1.3087294687325133,-9.80844005643371,1.6818181818181819,1.621212121212121,0.9848484848484849,4.0,13.431818181818182,0.12121212121212122,0.12121212121212122,1.5151515151515151,1.121212121212121,0.8181818181818182,3.3333333333333335,9.515151515151516,False,1,0.7647058823529411,1.0,1,0,5,0,0,0,0,0,0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0
