bioID,college,collegeOther,pos,height_cm,weight_kg,birth_date,birth_year
stileja01w,Missouri_State,Unknown,G,172.72,65.317248,1978-12-21,1978.0
stillva01w,Kentucky,Unknown,F,185.42000000000002,68.492392,1961-05-14,1961.0
stinsan01w,North_Carolina_State,Unknown,G,177.8,71.667536,1967-11-25,1967.0
stiresh01w,Kansas_State,Unknown,F,180.34,94.347136,1972-05-21,1972.0
stockta01w,Florida,Unknown,F,187.96,74.84268,1979-01-29,1979.0
streiju01w,Unknown,Unknown,F,187.96,74.84268,1972-05-14,1972.0
stricsh01w,Tennessee,Unknown,G,187.96,80.739376,1990-07-30,1990.0
strotan01w,Connecticut,Unknown,G,190.5,75.296272,1983-12-11,1983.0
suberto01w,Virginia,Unknown,G,170.18,62.142103999999996,1974-11-23,1974.0
summela01w,Unknown,Unknown,C,187.96,75.749864,1983-12-13,1983.0
sun-mju01w,Unknown,Unknown,C,185.42000000000002,76.203456,1974-10-12,1974.0
suttota01w,Rutgers,Unknown,C,193.04,90.264808,1978-01-27,1978.0
swanike01w,Connecticut,Unknown,G,170.18,65.317248,1986-08-10,1986.0
swoopsh01w,Texas_Tech,Unknown,F,182.88,65.77083999999999,1971-03-25,1971.0
swordca01w,Boston_College,Unknown,C,198.12,95.25431999999999,1989-07-19,1989.0
sykesap01w,Rutgers,Unknown,G,182.88,76.23469705189977,1990-07-30,1990.0
tatede01w,Maryland,Unknown,G,172.72,68.0388,1966-05-13,1966.0
tateso01w,Arkansas_State,Unknown,G,167.64000000000001,71.213944,1971-09-07,1971.0
tauradi01w,Connecticut,Unknown,F,182.88,78.017824,1982-06-11,1982.0
taylode99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
tayloli01w,UC_Santa_Barbara,Unknown,C,203.2,90.7184,1981-05-20,1981.0
taylope01w,Unknown,Unknown,F,185.42000000000002,76.203456,1981-05-24,1981.0
teaslni01w,North_Carolina,Unknown,G,182.88,76.657048,1979-03-22,1979.0
teilaza01w,Western_Illinois,Unknown,C,200.66,77.11064,1983-09-24,1983.0
terryka01w,Georgia_Tech,Unknown,C,190.5,83.007336,1983-10-21,1983.0
thibami99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
thirdtr01w,Washington,Unknown,F,180.34,72.57472,1968-02-27,1968.0
thomaca01w,Vanderbilt,Unknown,F,190.5,90.7184,1985-10-31,1985.0
thomach01w,Georgia,Unknown,C,190.5,83.91452,1982-08-14,1982.0
thomaja01w,Duke,Unknown,G,175.26,65.77083999999999,1989-09-30,1989.0
thomakr01w,Duke,Unknown,C,195.58,88.45044,1989-06-10,1989.0
thomala01w,Mississippi_State,Unknown,F,187.96,74.84268,1981-07-06,1981.0
thomast01w,Michigan,Unknown,F,177.8,69.853168,1978-08-29,1978.0
thompal01w,Texas_Tech,Unknown,F,185.42000000000002,81.64656,1976-06-30,1976.0
thompam01w,Oklahoma,Unknown,F,185.42000000000002,77.11064,1987-11-18,1987.0
