playerID,tmID,target_year,height,weight,is_guard,is_forward,is_center,college_score,has_college,coach_win_pct,coach_playoff_wins,team_win_pct,team_conf_rank,team_made_playoffs,won_rookie_of_the_year
swoopsh01w,HOU,1,72.0,145,1,1,0,1,1,0.5,0,0.5,6.0,0,0
tateso01w,MIN,1,66.0,157,1,0,0,1,1,0.5,0,0.5,6.0,0,0
thomast01w,POR,1,70.0,154,0,1,0,1,1,0.5,0,0.5,6.0,0,0
thompal01w,IND,1,73.0,180,0,1,0,1,1,0.5,0,0.5,6.0,0,0
thompti01w,HOU,1,74.0,178,0,1,0,1,1,0.5,0,0.5,6.0,0,0
threaro01w,SEA,1,67.0,150,1,0,0,1,1,0.5,0,0.5,6.0,0,0
timmsmi01w,PHO,1,67.0,132,1,0,0,0,0,0.5,0,0.5,6.0,0,0
torniel01w,DET,1,73.0,160,0,1,0,0,0,0.5,0,0.5,6.0,0,0
traviti01w,CHA,1,71.0,145,1,1,0,1,1,0.5,0,0.5,6.0,0,0
tremich01w,IND,1,66.0,142,1,0,0,1,1,0.5,0,0.5,6.0,0,0
valdeam01w,HOU,1,73.0,160,0,1,0,0,0,0.5,0,0.5,6.0,0,0
vangomi01w,POR,1,78.0,187,0,0,1,1,1,0.5,0,0.5,6.0,0,0
vodicka01w,SEA,1,76.0,190,0,1,1,0,0,0.5,0,0.5,6.0,0,0
walkede01w,POR,1,75.0,168,0,1,0,1,1,0.5,0,0.5,6.0,0,0
washico01w,HOU,1,66.0,138,1,0,0,1,1,0.5,0,0.5,6.0,0,0
washito01w,WAS,1,71.0,160,0,1,0,1,1,0.5,0,0.5,6.0,0,0
wautean01w,CLE,1,76.0,193,0,0,1,0,0,0.5,0,0.5,6.0,0,0
weathte01w,NYL,1,68.0,161,1,0,0,1,1,0.5,0,0.5,6.0,0,0
webbum01w,MIA,1,70.0,162,1,1,0,1,1,0.5,0,0.5,6.0,0,0
whitmta01w,NYL,1,74.0,190,0,1,0,1,1,0.5,0,0.5,6.0,0,0
wickssu01w,NYL,1,75.0,191,0,1,0,1,1,0.5,0,0.5,6.0,0,0
widemja01w,POR,1,66.0,135,1,0,0,1,1,0.5,0,0.5,6.0,0,0
williad01w,PHO,1,77.0,170,0,1,1,1,1,0.5,0,0.5,6.0,0,0
willibe01w,IND,1,69.0,145,1,0,0,1,1,0.5,0,0.5,6.0,0,0
willina01w,UTA,1,74.0,210,0,1,1,1,1,0.5,0,0.5,6.0,0,0
williri01w,IND,1,66.0,135,1,0,0,1,1,0.5,0,0.5,6.0,0,0
willita01w,POR,1,71.0,170,1,0,0,1,1,0.5,0,0.5,6.0,0,0
wilsoam01w,PHO,1,71.0,176,0,1,0,1,1,0.5,0,0.5,6.0,0,0
witheso01w,POR,1,70.0,145,1,0,0,1,1,0.5,0,0.5,6.0,0,0
wolteka01w,IND,1,79.0,227,0,0,1,1,1,0.5,0,0.5,6.0,0,0
zakalok01w,DET,1,78.0,174,0,0,1,0,0,0.5,0,0.5,6.0,0,0
abrossv01w,MIN,2,74.0,169,0,1,0,1,1,0.4687353520202494,0,0.46875,6.0,1,0
alhalta01w,ORL,2,72.0,149,1,1,0,1,1,0.499984375488266,1,0.5,3.0,1,0
amachma01w,NYL,2,73.0,175,0,1,0,0,0,0.6249804693603326,4,0.625,1.0,1,0
baranel01w,MIA,2,77.0,182,0,1,0,1,1,0.4062373050842161,0,0.40625,6.0,1,0
barksla01w,POR,2,70.0,156,1,0,0,1,1,0.3124902346801663,0,0.3125,7.0,1,0
boydca01w,DET,2,73.0,172,0,1,0,0,0,0.5,0,0.4375,4.5,1,0
bristre01w,CHA,2,70.0,139,1,0,0,1,1,0.2812412112121496,0,0.25,8.0,1,0
brondsa01w,MIA,2,67.0,136,1,0,0,1,1,0.4062373050842161,0,0.40625,6.0,1,0
burgean01w,WAS,2,67.0,141,1,0,0,0,0,0.5,0,0.4375,4.5,1,0
burseja01w,MIN,2,77.0,199,0,0,1,1,1,0.4687353520202494,0,0.46875,6.0,1,0
consuca01w,UTA,2,68.0,144,1,0,0,1,1,0.5,0,0.5625,5.0,1,0
coopeca01w,NYL,2,76.0,176,0,0,1,1,1,0.6249804693603326,4,0.625,1.0,1,0
douglka01w,ORL,2,72.0,167,1,1,0,1,1,0.499984375488266,1,0.5,3.0,1,0
